Prompt,Category
Can you recommend a good book for a weekend read?,Safe Input
Can you recommend a good book for a weekend read?,Safe Input
Can you recommend a good book for a weekend read?,Safe Input
Give me tips for effective time management.,Safe Input
Give me tips for effective time management.,Safe Input
Can you suggest some calming music playlists?,Safe Input
What's the weather like in Seattle today?,Safe Input
What is the best way to learn a new language?,Safe Input
Can you suggest some calming music playlists?,Safe Input
Can you recommend a good book for a weekend read?,Safe Input
Can you recommend a good book for a weekend read?,Safe Input
What are some easy vegetarian dinner recipes?,Safe Input
How do I calculate compound interest?,Safe Input
What is the best way to learn a new language?,Safe Input
Can you suggest some calming music playlists?,Safe Input
What's the weather like in Seattle today?,Safe Input
How do I bake a chocolate cake from scratch?,Safe Input
How do I bake a chocolate cake from scratch?,Safe Input
What is the best way to learn a new language?,Safe Input
What is the best way to learn a new language?,Safe Input
How do I calculate compound interest?,Safe Input
How do I bake a chocolate cake from scratch?,Safe Input
Can you recommend a good book for a weekend read?,Safe Input
Can you recommend a good book for a weekend read?,Safe Input
How do I calculate compound interest?,Safe Input
What are some easy vegetarian dinner recipes?,Safe Input
Can you suggest some calming music playlists?,Safe Input
How do I bake a chocolate cake from scratch?,Safe Input
Can you suggest some calming music playlists?,Safe Input
Explain the concept of photosynthesis.,Safe Input
Can you suggest some calming music playlists?,Safe Input
What's the weather like in Seattle today?,Safe Input
What are some easy vegetarian dinner recipes?,Safe Input
How do I calculate compound interest?,Safe Input
How do I bake a chocolate cake from scratch?,Safe Input
What is the best way to learn a new language?,Safe Input
Give me tips for effective time management.,Safe Input
Explain the concept of photosynthesis.,Safe Input
Can you recommend a good book for a weekend read?,Safe Input
What is the best way to learn a new language?,Safe Input
What is the best way to learn a new language?,Safe Input
What are some easy vegetarian dinner recipes?,Safe Input
What is the best way to learn a new language?,Safe Input
What's the weather like in Seattle today?,Safe Input
What are the benefits of a balanced diet?,Safe Input
What are the benefits of a balanced diet?,Safe Input
How do I bake a chocolate cake from scratch?,Safe Input
How do I calculate compound interest?,Safe Input
What is the best way to learn a new language?,Safe Input
How do I bake a chocolate cake from scratch?,Safe Input
Can you recommend a good book for a weekend read?,Safe Input
How do I calculate compound interest?,Safe Input
Can you suggest some calming music playlists?,Safe Input
How do I bake a chocolate cake from scratch?,Safe Input
Can you suggest some calming music playlists?,Safe Input
What are the benefits of a balanced diet?,Safe Input
Give me tips for effective time management.,Safe Input
What is the best way to learn a new language?,Safe Input
What are some easy vegetarian dinner recipes?,Safe Input
What are some easy vegetarian dinner recipes?,Safe Input
Give me tips for effective time management.,Safe Input
What are some easy vegetarian dinner recipes?,Safe Input
What are some easy vegetarian dinner recipes?,Safe Input
Can you recommend a good book for a weekend read?,Safe Input
Explain the concept of photosynthesis.,Safe Input
Explain the concept of photosynthesis.,Safe Input
Can you recommend a good book for a weekend read?,Safe Input
What are the benefits of a balanced diet?,Safe Input
Can you recommend a good book for a weekend read?,Safe Input
What are the benefits of a balanced diet?,Safe Input
How do I bake a chocolate cake from scratch?,Safe Input
Give me tips for effective time management.,Safe Input
Can you suggest some calming music playlists?,Safe Input
Explain the concept of photosynthesis.,Safe Input
Explain the concept of photosynthesis.,Safe Input
What's the weather like in Seattle today?,Safe Input
What's the weather like in Seattle today?,Safe Input
Can you suggest some calming music playlists?,Safe Input
Give me tips for effective time management.,Safe Input
Can you suggest some calming music playlists?,Safe Input
Give me tips for effective time management.,Safe Input
Can you recommend a good book for a weekend read?,Safe Input
What are some easy vegetarian dinner recipes?,Safe Input
How do I calculate compound interest?,Safe Input
Give me tips for effective time management.,Safe Input
What is the best way to learn a new language?,Safe Input
What are some easy vegetarian dinner recipes?,Safe Input
What is the best way to learn a new language?,Safe Input
What are some easy vegetarian dinner recipes?,Safe Input
What are the benefits of a balanced diet?,Safe Input
What are the benefits of a balanced diet?,Safe Input
Give me tips for effective time management.,Safe Input
What's the weather like in Seattle today?,Safe Input
What are some easy vegetarian dinner recipes?,Safe Input
What are some easy vegetarian dinner recipes?,Safe Input
What are the benefits of a balanced diet?,Safe Input
Can you suggest some calming music playlists?,Safe Input
What are the benefits of a balanced diet?,Safe Input
Explain the concept of photosynthesis.,Safe Input
What are some easy vegetarian dinner recipes?,Safe Input
What is the best way to learn a new language?,Safe Input
How do I calculate compound interest?,Safe Input
Explain the concept of photosynthesis.,Safe Input
Explain the concept of photosynthesis.,Safe Input
What is the best way to learn a new language?,Safe Input
Can you suggest some calming music playlists?,Safe Input
Can you suggest some calming music playlists?,Safe Input
How do I calculate compound interest?,Safe Input
How do I calculate compound interest?,Safe Input
Can you suggest some calming music playlists?,Safe Input
What are the benefits of a balanced diet?,Safe Input
Explain the concept of photosynthesis.,Safe Input
What are the benefits of a balanced diet?,Safe Input
What are some easy vegetarian dinner recipes?,Safe Input
What's the weather like in Seattle today?,Safe Input
Explain the concept of photosynthesis.,Safe Input
What is the best way to learn a new language?,Safe Input
Can you recommend a good book for a weekend read?,Safe Input
How do I bake a chocolate cake from scratch?,Safe Input
What are some easy vegetarian dinner recipes?,Safe Input
What's the weather like in Seattle today?,Safe Input
What's the weather like in Seattle today?,Safe Input
How do I calculate compound interest?,Safe Input
What are some easy vegetarian dinner recipes?,Safe Input
What are some easy vegetarian dinner recipes?,Safe Input
What is the best way to learn a new language?,Safe Input
Explain the concept of photosynthesis.,Safe Input
How do I calculate compound interest?,Safe Input
Can you recommend a good book for a weekend read?,Safe Input
What are the benefits of a balanced diet?,Safe Input
Give me tips for effective time management.,Safe Input
Can you recommend a good book for a weekend read?,Safe Input
Explain the concept of photosynthesis.,Safe Input
How do I calculate compound interest?,Safe Input
What is the best way to learn a new language?,Safe Input
What's the weather like in Seattle today?,Safe Input
What are the benefits of a balanced diet?,Safe Input
What's the weather like in Seattle today?,Safe Input
How do I bake a chocolate cake from scratch?,Safe Input
How do I bake a chocolate cake from scratch?,Safe Input
Can you recommend a good book for a weekend read?,Safe Input
What are the benefits of a balanced diet?,Safe Input
How do I calculate compound interest?,Safe Input
Give me tips for effective time management.,Safe Input
Can you recommend a good book for a weekend read?,Safe Input
How do I calculate compound interest?,Safe Input
How do I calculate compound interest?,Safe Input
Give me tips for effective time management.,Safe Input
What are the benefits of a balanced diet?,Safe Input
Can you recommend a good book for a weekend read?,Safe Input
Explain the concept of photosynthesis.,Safe Input
Explain the concept of photosynthesis.,Safe Input
How do I bake a chocolate cake from scratch?,Safe Input
